날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-30,131,25.6,24.2,28.2
2020-07-30,133,25,23.2,27
2020-07-30,102,22.5,20.1,25.8
2020-07-30,104,21.3,20.2,24.1
2020-07-30,105,22.9,21.2,26.1
2020-07-30,106,20.6,19.9,22.4
2020-07-30,108,25.3,23.4,28.4
2020-07-30,112,23.7,22.1,25.6
2020-07-30,114,25,23,28.5
2020-07-30,115,22.9,21.1,25.4
2020-07-30,90,22.7,20.9,25.3
2020-07-30,93,25.2,22.1,30.2
2020-07-30,95,24.6,20.9,29.3
2020-07-30,98,24.9,21.6,29.1
2020-07-30,99,24.3,21,28.8
2020-07-30,100,21.2,19.2,25.2
2020-07-30,101,25.6,22.8,29.7
2020-07-30,294,24.9,22.6,29.8
2020-07-30,295,25,22.5,31.4
2020-07-30,279,22.9,21.3,25.5
2020-07-30,281,22.2,20.9,24
2020-07-30,283,22.4,20.7,24.6
2020-07-30,284,22.8,20,25.5
2020-07-30,285,23,21.3,25.8
2020-07-30,288,22.7,20.8,28.9
2020-07-30,289,23.2,21.7,26.6
2020-07-30,268,26.9,24.9,30.1
2020-07-30,271,20.9,18.5,23
2020-07-30,272,21.7,20.2,23.7
2020-07-30,273,22.8,21.7,24.8
2020-07-30,276,21.2,19.9,24.2
2020-07-30,277,21.9,20.7,24.9
2020-07-30,278,,21.5,25.1
2020-07-30,258,26.7,24.1,31.3
2020-07-30,259,27.2,24.7,31.3
2020-07-30,260,26.8,23.6,31.4
2020-07-30,261,26.7,25,30.7
2020-07-30,262,26.3,23.4,31.6
2020-07-30,263,23.6,21,31.2
2020-07-30,264,23,21,26
2020-07-30,266,25.2,22.6,31.3
2020-07-30,248,23.1,19.8,26.2
2020-07-30,251,26.1,24.2,29.1
2020-07-30,252,26.3,25,28.8
2020-07-30,253,23.4,21.6,29.3
2020-07-30,254,25.7,23.5,29.5
2020-07-30,255,24.5,22.9,30.3
2020-07-30,257,23,21.1,30.1
2020-07-30,236,25,23.6,28
2020-07-30,238,24,21.5,27.1
2020-07-30,239,25.2,23.8,27.5
2020-07-30,243,25.8,23.5,28.6
2020-07-30,244,24,22.5,26.3
2020-07-30,245,25.7,24,28.5
2020-07-30,247,25,22.9,28.8
2020-07-30,212,24.4,21.8,30
2020-07-30,216,21.5,19.7,25.5
2020-07-30,217,22.6,19.6,27.5
2020-07-30,221,23.1,21.2,26.9
2020-07-30,226,23.1,21.8,25.2
2020-07-30,232,24.5,23,27.3
2020-07-30,235,,22.9,26.3
2020-07-30,188,27.4,25.3,31.1
2020-07-30,189,27.2,25.9,29.2
2020-07-30,192,24.6,21.8,30.8
2020-07-30,201,23.2,20.1,27.2
2020-07-30,202,24.5,21.8,28.3
2020-07-30,203,24.8,22.4,29.3
2020-07-30,211,24.2,20.5,28.6
2020-07-30,169,23,21.3,25.7
2020-07-30,170,26.7,24.2,30.9
2020-07-30,172,26.4,24.6,29.1
2020-07-30,174,24.9,22.8,29.7
2020-07-30,177,25.2,23.6,27.5
2020-07-30,184,27.8,25.4,31
2020-07-30,185,26.8,25.7,29.3
2020-07-30,152,22.7,20.9,26.2
2020-07-30,155,23.1,21.7,28.8
2020-07-30,156,26.8,24.8,30.1
2020-07-30,159,24,22,27.9
2020-07-30,162,24.1,22.5,27.9
2020-07-31,165,27,25.4,29.8
2020-07-31,168,25.8,23.7,29
2020-07-31,135,25,20.7,29.6
2020-07-31,136,25.1,21,30.5
2020-07-31,137,25.8,21.8,31.9
2020-07-31,138,27.8,23.3,32.5
2020-07-31,140,25.7,23.8,29.5
2020-07-31,143,26.1,21.9,31.5
2020-07-31,146,26.3,24.2,29.9
2020-07-31,119,25.9,22.5,30
2020-07-31,121,24.4,20.8,30
2020-07-31,127,25.9,23.2,29.3
2020-07-31,129,25,23.3,30
2020-07-31,130,25.2,20.3,31.7
2020-07-31,131,27.4,24.3,30.9
2020-07-31,133,25.9,23.7,30
2020-07-31,104,26.9,20.7,31.7
2020-07-31,105,29.4,24.4,33.4
2020-07-31,106,25.1,20.2,30.1
2020-07-31,108,26.2,22.8,29.6
2020-07-31,112,24.9,21.9,28.2
2020-07-31,114,26,22.4,29.8
2020-07-31,115,25.7,23.1,29.2
2020-07-31,90,27.6,21.5,33.3
2020-07-31,93,25.4,20.5,30.7
2020-07-31,95,25.6,20.9,30
2020-07-31,98,25,19.8,30.5
2020-07-31,99,24.4,18.8,30
2020-07-31,100,22.7,18.4,28.7
2020-07-31,101,25.9,21.5,31.1
2020-07-31,102,22,20.2,23.8
2020-07-31,294,26,22.6,29.9
2020-07-31,295,25.9,22.1,31.6
2020-07-31,279,25.6,21.2,31.3
2020-07-31,281,25.4,20.8,30.7
2020-07-31,283,25.3,20.2,31.3
2020-07-31,284,24.9,21.5,30.4
2020-07-31,285,25.2,21.1,31.1
2020-07-31,288,25.4,20.5,31.8
2020-07-31,289,25.6,21.4,32.2
2020-07-31,268,26.9,24.4,30.8
2020-07-31,271,23.4,18.2,28.3
2020-07-31,272,24.9,20.2,30
2020-07-31,273,25,21.3,29.9
2020-07-31,276,24.6,19.5,30.5
2020-07-31,277,26.8,21.6,31.3
2020-07-31,278,25.4,21.4,31.4
2020-07-31,259,26.8,24.1,31.4
2020-07-31,260,26.7,23.4,31.5
2020-07-31,261,26.7,24,31
2020-07-31,262,26.1,23.1,31
2020-07-31,263,26.5,22.6,32.5
2020-07-31,264,25.6,21.4,31.5
2020-07-31,266,26.7,22.9,31.7
2020-07-31,248,24.3,22.1,28.7
2020-07-31,251,26.7,24,30.4
2020-07-31,252,26.9,24.7,30.3
2020-07-31,253,26.1,21.4,31.7
2020-07-31,254,26.6,23.5,31
2020-07-31,255,27.3,22.8,33.7
2020-07-31,257,26.5,21.3,32.7
2020-07-31,258,26.7,23.3,31.4
2020-07-31,236,26.2,23.4,30.5
2020-07-31,238,25.5,22.9,30
2020-07-31,239,25.9,23.6,30.4
2020-07-31,243,25.8,24.1,29.2
2020-07-31,244,25.2,22.4,29.6
2020-07-31,245,26,23.2,30.8
2020-07-31,247,26.4,22.6,30.6
2020-07-31,212,25.2,20.4,30.5
2020-07-31,216,23.8,18.9,29.1
2020-07-31,217,24,18.3,31.2
2020-07-31,221,24.5,20.2,29.9
2020-07-31,226,25.2,21.9,30.2
2020-07-31,232,25.5,22.8,29.3
2020-07-31,235,25,23.5,28.4
2020-07-31,188,26.7,23.6,30.5
2020-07-31,189,26.7,25.5,29.1
2020-07-31,192,26.2,22.4,31.3
2020-07-31,201,23.7,19,28.8
2020-07-31,202,25.1,21.2,28.9
2020-07-31,203,25.4,21.5,29.3
2020-07-31,211,26,21.4,30.9
2020-07-31,169,23,21.5,24.8
2020-07-31,170,26.6,23.8,31
2020-07-31,172,26.7,24.5,30.2
2020-07-31,174,26.6,22.4,31.9
2020-07-31,177,25.8,23.7,28.9
2020-07-31,184,26.9,25.1,29.5
2020-07-31,185,26.8,25.1,29.5
2020-07-31,152,26.1,21.2,32
2020-07-31,155,26,21.5,31.1
2020-07-31,156,27.4,24.9,30.7
2020-07-31,159,26.1,22.8,30.6
2020-07-31,162,25.4,22.6,30
2020-08-01,127,26,22.7,30.2
2020-08-01,129,25.1,23.7,27.6
2020-08-01,130,26.8,23.3,32.3
2020-08-01,131,26.5,23.5,31
2020-08-01,133,25.8,23.7,30.4
2020-08-01,135,24.8,22.2,30.1
2020-08-01,136,26.2,23.1,31
2020-08-01,137,26.1,23.2,31.2
2020-08-01,138,29.3,25.9,33.4
2020-08-01,140,25.7,23.8,29.4
2020-08-01,143,27.7,23.9,34.1
2020-08-01,146,26.3,24.2,30.8
2020-08-01,152,28.2,24.4,33.3
2020-08-01,155,27.2,24,31.8
2020-08-01,156,26.3,23,30
2020-08-01,90,26.3,23.1,29.6
2020-08-01,93,24.2,22.9,25.9
2020-08-01,95,23.3,22.2,25.1
2020-08-01,98,23.6,22.5,26
2020-08-01,99,23.8,22.1,26.4
2020-08-01,100,21.9,19.7,25.6
2020-08-01,101,24.7,23.5,26
2020-08-01,102,21.9,20.7,23.3
2020-08-01,104,25.8,22.7,29.4
2020-08-01,105,27.7,24.4,30.5
2020-08-01,106,25,22.8,28.4
2020-08-01,108,25.3,24.3,26.9
2020-08-01,112,24.4,23.2,25.5
2020-08-01,114,25.4,22.3,30.1
2020-08-01,115,26.5,23.1,30.3
2020-08-01,119,26.2,24,29.2
2020-08-01,271,23.6,20.9,28
2020-08-01,272,25,22.1,29.7
2020-08-01,273,25.3,22.5,30.9
2020-08-01,276,25.7,22,31.7
2020-08-01,277,26.8,23.8,31.6
2020-08-01,278,26.4,23,31.8
2020-08-01,279,26.8,23.7,31.2
2020-08-01,281,26.5,23.3,32.1
2020-08-01,283,27.5,23.4,33.5
2020-08-01,284,25.4,22.8,31.7
2020-08-01,285,26.8,23.1,32
2020-08-01,288,27.5,24,33
2020-08-01,289,26.2,23.2,31.7
2020-08-01,294,26.7,23.4,29.8
2020-08-01,295,26.7,23.1,30.6
2020-08-01,248,24.5,21.3,28.4
2020-08-01,251,26.1,23.2,30.1
2020-08-01,252,26.2,22.6,30.2
2020-08-01,253,27.5,24.4,32.2
2020-08-01,254,25.3,22.9,30.9
2020-08-01,255,28.7,25.6,32.8
2020-08-01,257,27.6,24.3,32.6
2020-08-01,258,26.9,23.7,30.7
2020-08-01,259,26.7,23.3,31
2020-08-01,260,25.9,22.7,29.5
2020-08-01,261,27,23.2,30.8
2020-08-01,262,26.2,22.5,31
2020-08-01,263,27.6,23.9,32.4
2020-08-01,264,25.5,22.1,31.6
2020-08-01,266,26.9,24.3,31.3
2020-08-01,268,26.8,23.6,29.3
2020-08-01,203,25.4,23.2,30
2020-08-01,211,24,22.5,26.9
2020-08-01,212,23.8,21.9,27.6
2020-08-01,216,22.7,19.4,26.6
2020-08-01,217,23.9,21,29.3
2020-08-01,221,24.5,21.4,28.8
2020-08-01,226,24.5,22.7,29.3
2020-08-01,232,25.3,22.9,29.6
2020-08-01,235,25.7,23.5,27.8
2020-08-01,236,25.7,23.2,29.3
2020-08-01,238,25.6,23,30.6
2020-08-01,239,25.2,23,30.5
2020-08-01,243,25.8,23.7,29.6
2020-08-01,244,24.6,22.7,28.6
2020-08-01,245,25.5,23.3,30
2020-08-01,247,26.2,23.5,30.4
2020-08-01,159,26.9,24.3,30
2020-08-01,162,26.4,23.7,30.5
2020-08-01,165,27.3,25.2,29.9
2020-08-01,168,26.4,24.4,29
2020-08-01,169,23.2,22,24.6
2020-08-01,170,26.2,23.7,29.6
2020-08-01,172,26.1,22.4,29.9
2020-08-01,174,26.2,22.9,30
2020-08-01,177,26,24.5,28.7
2020-08-01,184,28.2,25.5,30.7
2020-08-01,185,27.3,25.4,29.6
2020-08-01,188,26.9,24.1,31
2020-08-01,189,27.2,25.6,29.6
2020-08-01,192,26.6,23.3,31.1
2020-08-01,201,24.4,23,26.2
2020-08-01,202,24.3,22.4,27.8
2020-08-01,121,24.6,20.9,28.8
2020-08-02,271,22.6,20.4,26.4
2020-08-02,272,23.5,21.7,28.1
2020-08-02,273,24.8,22.8,28.1
2020-08-02,276,25.8,22.4,31.5
2020-08-02,277,26.6,22.2,32.4
2020-08-02,278,27.2,23.6,31.8
2020-08-02,279,27.5,23.6,31.1
2020-08-02,281,27.5,23.2,31.4
2020-08-02,283,28,23.4,33
2020-08-02,284,26,22.3,29.8
2020-08-02,285,27.3,23.2,31.9
2020-08-02,288,28.1,24.1,32.6
2020-08-02,289,26.5,22.9,31.5
2020-08-02,294,26.8,25.9,28.6
2020-08-02,295,27.1,24.4,30.1
2020-08-02,248,25.5,23.4,28.1
2020-08-02,251,27.7,25.8,30.6
2020-08-02,252,27.5,25.7,30.8
2020-08-02,253,27.8,25.5,31.6
2020-08-02,254,26.9,23.5,30.7
2020-08-02,255,29,26.8,32.7
2020-08-02,257,28,25.4,32.7
2020-08-02,258,27.7,24.2,31.2
2020-08-02,259,27.5,24.6,31
2020-08-02,260,27.2,24.2,31.6
2020-08-02,261,27.9,26.4,30.9
2020-08-02,262,27,23.8,30.4
2020-08-02,263,28.7,25.9,32
2020-08-02,264,26.3,22.9,31.9
2020-08-02,266,27.3,24.8,30.9
2020-08-02,268,27.8,26.8,29.6
2020-08-02,203,23.5,22.6,27.6
2020-08-02,211,24.6,22.4,28.2
2020-08-02,212,24.7,23,27.7
2020-08-02,216,22.5,19.9,26.2
2020-08-02,217,23,21.4,26
2020-08-02,221,23,21.8,26.6
2020-08-02,226,25.8,22.8,30.3
2020-08-02,232,25.7,22.8,29
2020-08-02,235,26.6,25.4,28.1
2020-08-02,236,27.5,25.1,29.8
2020-08-02,238,28,25.5,31
2020-08-02,239,26.9,23.1,29.8
2020-08-02,243,27.6,25.7,30.3
2020-08-02,244,25.5,23,28.9
2020-08-02,245,27.7,25.5,30.4
2020-08-02,247,27.7,24.3,30.7
2020-08-02,159,26.8,24.2,30
2020-08-02,162,27.2,26,29.5
2020-08-02,165,27.8,25.7,30.8
2020-08-02,168,26.6,25.2,28.9
2020-08-02,169,23.3,21.7,25.1
2020-08-02,170,27.4,24,31.3
2020-08-02,172,28,26.2,30.5
2020-08-02,174,26.5,23.5,30.9
2020-08-02,177,27.1,23.3,28.9
2020-08-02,184,29.3,26.7,34
2020-08-02,185,27.6,26.2,29.8
2020-08-02,188,27.9,26.1,30.9
2020-08-02,189,27.3,26.3,29.3
2020-08-02,192,27.4,24.5,31.4
2020-08-02,201,23.7,22.9,25.1
2020-08-02,202,23.7,22.4,25.8
2020-08-02,121,23.4,22.1,26.4
2020-08-02,127,24.7,22.7,28.2
2020-08-02,129,25.4,22.5,26.6
2020-08-02,130,25.3,22.3,29.2
2020-08-02,131,27.5,23.5,30.8
2020-08-02,133,27.7,23.8,30.6
2020-08-02,135,25.4,22.5,29.6
2020-08-02,136,26.5,23.8,30.3
2020-08-02,137,25.9,23.2,29.7
2020-08-02,138,29.6,26.8,33.7
2020-08-02,140,27.4,25.2,30.9
2020-08-02,143,28.6,24.6,33.4
2020-08-02,146,28,25.6,32
2020-08-02,152,28.3,26,31.9
2020-08-02,155,27.7,25.2,31.8
2020-08-02,156,27.4,25.5,30.4
2020-08-02,90,24,22.8,28.7
2020-08-02,93,24.2,23.1,26.8
2020-08-02,95,23.8,22.3,27.2
2020-08-02,98,23.9,22.5,25.8
2020-08-02,99,24,22.7,26.2
2020-08-02,100,22.5,19.8,26.2
2020-08-02,101,24.7,23.5,26.8
2020-08-02,102,22.3,20.7,23.5
2020-08-02,104,25.7,22.5,31.9
2020-08-02,105,27.7,23.7,33
2020-08-02,106,25.8,22,31.2
2020-08-02,108,24.9,23.5,26.4
2020-08-02,112,24,22.4,25
2020-08-02,114,24.6,22.8,28.3
2020-08-02,115,26.1,23.7,29.7
2020-08-02,119,25.2,23.3,28.1
2020-08-03,127,24.3,21.9,27.6
2020-08-03,129,25,23.4,25.8
2020-08-03,130,27.4,24.7,28.7
2020-08-03,131,26.1,23.8,28.8
2020-08-03,133,27,25,30.6
2020-08-03,135,25.1,21.7,30.2
2020-08-03,136,26.4,23.7,30
2020-08-03,137,26.2,23.6,30.1
2020-08-03,138,29.7,26.6,33
2020-08-03,140,27.7,25.6,30.8
2020-08-03,143,29.1,25.7,33
2020-08-03,146,28.4,26.3,31.4
2020-08-03,152,28.3,26.1,31.7
2020-08-03,155,27.9,25.9,31.4
2020-08-03,156,27.7,25.6,30.3
2020-08-03,90,26.8,23.2,31.1
2020-08-03,93,23.4,22.3,24.5
2020-08-03,95,24.6,22.5,26
2020-08-03,98,24.2,23.2,25.7
2020-08-03,99,24.2,23.6,26.1
2020-08-03,100,21,18.7,23.2
2020-08-03,101,23.8,22.9,25
2020-08-03,102,23.4,21.9,24.7
2020-08-03,104,25.6,22.1,28.9
2020-08-03,105,27.2,24.1,29.3
2020-08-03,106,25.8,22.8,28.8
2020-08-03,108,25,23.9,26.3
2020-08-03,112,24.2,23.6,25.1
2020-08-03,114,24.2,22.4,26.7
2020-08-03,115,26.1,25.4,28.5
2020-08-03,119,25,23,26.8
2020-08-03,271,22.8,20.5,26.1
2020-08-03,272,23.5,21.5,27.2
2020-08-03,273,24.3,22.8,28.7
2020-08-03,276,25.6,22.2,31.7
2020-08-03,277,26.7,24.2,30.9
2020-08-03,278,26.5,23.1,31.2
2020-08-03,279,26.7,23.9,31.1
2020-08-03,281,27.9,24,32.3
2020-08-03,283,28,24.2,32.2
2020-08-03,284,26,22.3,30.6
2020-08-03,285,27.4,24.1,30.7
2020-08-03,288,27.8,24.6,32
2020-08-03,289,26.4,22.6,32.2
2020-08-03,294,26.7,25.9,27.9
2020-08-03,295,27.1,25.2,29.1
2020-08-03,248,26,24.4,28.7
2020-08-03,251,28,26.2,31.2
2020-08-03,252,27.7,26,30.7
2020-08-03,253,27.6,25.6,30.3
2020-08-03,254,27.7,24.8,30.6
2020-08-03,255,28.7,26.9,32.1
2020-08-03,257,28.1,25.8,31.1
2020-08-03,258,27.5,25.3,30.3
2020-08-03,259,27.3,24.7,30.7
2020-08-03,260,26.4,24.1,30.8
2020-08-03,261,27.8,24.4,30.8
2020-08-03,262,26.7,23.5,30.4
2020-08-03,263,28.3,26.4,31.8
2020-08-03,264,26,22.6,32.7
2020-08-03,266,26.9,25.1,29.9
2020-08-03,268,27.5,26.2,29.9
2020-08-03,203,23.9,22.8,26.2
2020-08-03,211,23.7,22.5,25.6
2020-08-03,212,23.8,21.8,26.6
2020-08-03,216,22.9,21.2,25
2020-08-03,217,23.1,21,25.5
2020-08-03,221,22.8,21.7,24.9
2020-08-03,226,24.7,22.5,28.7
2020-08-03,232,24.4,22.5,26.5
2020-08-03,235,26.2,23.4,27.4
2020-08-03,236,27.3,24,29.7
2020-08-03,238,27.6,25.3,30.5
2020-08-03,239,26.2,23.2,29.1
2020-08-03,243,28,26,31
2020-08-03,244,26.2,23.8,30.2
2020-08-03,245,28,25.9,30.7
2020-08-03,247,27.7,25,31.5
2020-08-03,159,26.9,25.2,29.3
2020-08-03,162,27.1,25.3,28.8
2020-08-03,165,28,26,31.1
2020-08-03,168,26.4,25.4,28
2020-08-03,169,23.6,22.3,26.4
2020-08-03,170,26.9,24.3,30.2
2020-08-03,172,28.1,26.4,31
2020-08-03,174,26.8,23.9,29.5
2020-08-03,177,26,23.5,27.4
2020-08-03,184,28.8,26.7,32.5
2020-08-03,185,27.6,26.3,29.6
2020-08-03,188,27.7,26.2,30
2020-08-03,189,27.4,26.3,29.8
2020-08-03,192,27.2,24.7,30.4
2020-08-03,201,24.6,23.4,25.8
2020-08-03,202,23.8,22.4,25.2
2020-08-03,121,23.1,22.2,25.8
2020-08-04,127,26.6,22.7,32
2020-08-04,129,26.8,25.2,30.9
2020-08-04,130,25.5,23,31.3
2020-08-04,131,27.6,24.2,32.5
2020-08-04,133,27.5,25.2,32.3
2020-08-04,135,26,21,32.3
2020-08-04,136,26.9,22.7,33
2020-08-04,137,26.6,22.2,33.2
2020-08-04,138,30.4,27,34.7
2020-08-04,140,28.4,25,33.2
2020-08-04,143,29.3,24.9,34.4
2020-08-04,146,29.1,25.4,33.4
2020-08-04,152,28.2,25.1,32.3
2020-08-04,155,27.7,24.9,31.2
2020-08-04,156,28.5,25.7,33
2020-08-04,90,24.4,22.4,29.6
2020-08-04,93,24.5,22.7,29.1
2020-08-04,95,25.2,23,27.1
2020-08-04,98,25.5,23.6,28.2
2020-08-04,99,25.8,24,28.8
2020-08-04,100,22.9,20.7,26.3
2020-08-04,101,24.8,23,28.6
2020-08-04,102,24.2,22.8,25.1
2020-08-04,104,24.8,22.2,28.8
2020-08-04,105,25.6,23.9,28.8
2020-08-04,106,24.4,21.9,28.2
2020-08-04,108,27,25,29.4
2020-08-04,112,25.7,24.6,27.6
2020-08-04,114,26.3,23,30.7
2020-08-04,115,26.9,25.1,30.1
2020-08-04,119,27.4,23.8,30.4
2020-08-04,271,24.1,20.4,29.2
2020-08-04,272,24.4,21,30.3
2020-08-04,273,26,22.5,31.6
2020-08-04,276,26.4,20.9,33.1
2020-08-04,277,26.6,22.9,32.7
2020-08-04,278,27.5,22.6,33.2
2020-08-04,279,27.8,23.2,32.6
2020-08-04,281,28.3,24.3,32.8
2020-08-04,283,28.4,23.4,35.1
2020-08-04,284,26.3,21.6,32.2
2020-08-04,285,27.6,22.6,32.9
2020-08-04,288,27.6,23.3,33.2
2020-08-04,289,27.4,22.6,32.5
2020-08-04,294,27,25.7,28.6
2020-08-04,295,27.5,24.7,29.8
2020-08-04,248,25.9,22.6,30.1
2020-08-04,251,28.8,25,33.7
2020-08-04,252,28.6,25,33.4
2020-08-04,253,27.8,24.6,31.5
2020-08-04,254,28.1,24.2,32.9
2020-08-04,255,28.7,25.8,33
2020-08-04,257,27.6,25.2,31.2
2020-08-04,258,28.2,25.3,31.7
2020-08-04,259,28,24.3,31.6
2020-08-04,260,27.3,24.1,30.5
2020-08-04,261,27.6,23.3,31.5
2020-08-04,262,27.5,24.2,31.1
2020-08-04,263,27.8,23.4,32.7
2020-08-04,264,26.6,21.8,32.8
2020-08-04,266,28.1,24.5,32
2020-08-04,268,28,25.4,31.4
2020-08-04,203,26.5,22.8,30.7
2020-08-04,211,23.3,21.7,25.5
2020-08-04,212,24.9,21.9,29.8
2020-08-04,216,23.6,20.7,29.1
2020-08-04,217,25.1,21.9,29.3
2020-08-04,221,25.4,21.8,30.4
2020-08-04,226,24.8,22.2,31.3
2020-08-04,232,26.2,22.2,30.8
2020-08-04,235,27.9,25.6,31.5
2020-08-04,236,27.5,25.4,32.4
2020-08-04,238,27.5,24,32
2020-08-04,239,27.2,24.9,31.4
2020-08-04,243,28.8,25.1,33.3
2020-08-04,244,26.6,23.4,30.8
2020-08-04,245,28.7,24.7,33
2020-08-04,247,27.6,23.4,32.7
2020-08-04,159,27,25.1,29.4
2020-08-04,162,26.5,24.5,28.7
2020-08-04,165,28.6,26,32.1
2020-08-04,168,27.5,25.7,30.4
2020-08-04,169,25.2,22.5,29.4
2020-08-04,170,26.8,24.1,31.1
2020-08-04,172,28.6,25.4,33.5
2020-08-04,174,27.1,24,31
2020-08-04,177,28.1,26.2,30.9
2020-08-04,184,30.2,27.1,34.9
2020-08-04,185,28.5,26.3,31.2
2020-08-04,188,28.1,26.1,31.1
2020-08-04,189,27.9,26.4,30.5
2020-08-04,192,27.4,23.2,31.2
2020-08-04,201,25.7,24.5,27.6
2020-08-04,202,25.5,22.5,30.2
2020-08-04,121,25.2,22.1,30.8
2020-08-05,90,21.5,20.6,23.2
2020-08-05,93,24.4,23.1,26.3
2020-08-05,95,24.9,23,27.3
2020-08-05,98,25.3,24.3,27.5
2020-08-05,99,25.7,24.1,29.5
2020-08-05,100,21.6,20,23.7
2020-08-05,101,24.9,24.1,26.2
2020-08-05,102,23.7,22.6,25.8
2020-08-05,104,21.6,20.6,23.6
2020-08-05,105,22.7,21.8,24.5
2020-08-05,106,22.1,20.9,23.3
2020-08-05,108,26.5,25.5,29.1
2020-08-05,112,26.6,24.6,29.3
2020-08-05,114,25.7,23.9,27.6
2020-08-05,115,25.5,23.9,26.8
2020-08-05,119,27,25.2,29.1
2020-08-05,121,23.5,21.9,26.1
2020-08-05,127,25.5,23.3,27.3
2020-08-05,129,27.7,24.8,31.9
2020-08-05,130,24.5,22.8,26.2
2020-08-05,131,26.7,25.2,29.8
2020-08-05,133,26.4,25,29.8
2020-08-05,135,25,22.7,30
2020-08-05,136,26.1,22.8,31
2020-08-05,137,25.7,23.5,29.6
2020-08-05,138,30,26.9,34.3
2020-08-05,140,27.6,25.7,29.8
2020-08-05,143,28.9,25.4,33
2020-08-05,146,27.9,25.8,31
2020-08-05,152,28.1,24.3,32
2020-08-05,155,27.8,25.6,30.6
2020-08-05,156,28.2,26.1,31.2
2020-08-05,159,26.6,25.4,29.2
2020-08-05,162,26.9,25.5,28.6
2020-08-05,165,28.1,24.2,31.5
2020-08-05,168,27.9,26.2,29.3
2020-08-05,169,26,22.6,29.2
2020-08-05,170,27.7,24.8,30.9
2020-08-05,172,28.6,26.7,31.8
2020-08-05,174,27,25.5,28.8
2020-08-05,177,27.6,25.5,32
2020-08-05,184,30.3,26.4,34.1
2020-08-05,185,27.9,26.2,30.2
2020-08-05,188,27.3,25.8,30.1
2020-08-05,189,26.9,24.9,28.4
2020-08-05,192,27.1,24.3,29.5
2020-08-05,201,26.7,24.6,29.9
2020-08-05,202,24.7,23.7,26.2
2020-08-05,203,25.6,24.3,28.1
2020-08-05,211,22.5,20.3,25.2
2020-08-05,212,24.3,23.3,26.1
2020-08-05,216,22.8,20.7,25.2
2020-08-05,217,22.5,21.1,24.9
2020-08-05,221,24,22.4,25.8
2020-08-05,226,24.9,22.4,29.2
2020-08-05,232,25.8,24,27.6
2020-08-05,235,28.7,27,31.7
2020-08-05,236,26.8,24.7,28.9
2020-08-05,238,26.2,24.1,30.4
2020-08-05,239,26,24.7,30
2020-08-05,243,27.5,25.3,30.7
2020-08-05,244,25.3,23.9,27.5
2020-08-05,245,28.3,24.9,31.2
2020-08-05,247,26.7,24.3,29
2020-08-05,248,24.6,21.6,28
2020-08-05,251,28.1,27,31.1
2020-08-05,252,28.3,26.2,32
2020-08-05,253,27.2,24.9,30.6
2020-08-05,254,27.1,24.4,30.4
2020-08-05,255,29.4,27.2,32.6
2020-08-05,257,27.8,25.4,31.2
2020-08-05,258,28.5,26.4,30.8
2020-08-05,259,28.3,26.6,30.9
2020-08-05,260,27.3,26.4,30.1
2020-08-05,261,28,25.6,31.6
2020-08-05,262,28.3,25.8,29.8
2020-08-05,263,27.4,24,31.6
2020-08-05,264,25.8,22.8,30.1
2020-08-05,266,27.3,26,29.4
2020-08-05,268,28,25.9,30.7
2020-08-05,271,23.4,21.2,27
2020-08-05,272,24.2,21.9,27.2
2020-08-05,273,25.3,23.2,28.8
2020-08-05,276,25.8,22.2,32.5
2020-08-05,277,26.8,22.9,31.7
2020-08-05,278,26.9,23.2,31.5
2020-08-05,279,27.8,24.7,31.2
2020-08-05,281,27.5,24.4,32.1
2020-08-05,283,28.3,23.5,33.3
2020-08-05,284,25.7,22.6,29.3
2020-08-05,285,26.7,24,30.7
2020-08-05,288,28.1,24.4,31.8
2020-08-05,289,26.2,24.9,27.6
2020-08-05,294,27.7,26.6,28.8
2020-08-05,295,27.7,26.7,28.7
2020-08-06,248,24.9,23.1,25.9
2020-08-06,251,25.6,24.2,28.2
2020-08-06,252,25.8,24.1,28.4
2020-08-06,253,26.8,25.4,28
2020-08-06,254,26,25,27.9
2020-08-06,255,27.9,26.7,29.7
2020-08-06,257,27.2,25.7,29.3
2020-08-06,258,27.5,26.2,28.7
2020-08-06,259,27.2,26,28.9
2020-08-06,260,26.9,25.5,28.5
2020-08-06,261,26.6,25.5,28.1
2020-08-06,262,26.6,25.8,28.2
2020-08-06,263,27.5,26.1,29
2020-08-06,264,25.3,24.1,29.8
2020-08-06,266,26.4,25.6,28.3
2020-08-06,268,27.1,26.1,28.3
2020-08-06,271,23.1,19.8,25.7
2020-08-06,272,24.2,20.7,28.3
2020-08-06,273,25,21.6,29
2020-08-06,276,26.3,23.3,30.8
2020-08-06,277,25.1,20.3,32.1
2020-08-06,278,26.4,24.3,29.7
2020-08-06,279,27,25.1,29.8
2020-08-06,281,27,23.7,28.8
2020-08-06,283,27.4,22.4,30.2
2020-08-06,284,25.4,23.9,27.6
2020-08-06,285,26.3,25.2,28.9
2020-08-06,288,27.2,25.8,29.1
2020-08-06,289,26.2,24.7,28
2020-08-06,294,26.7,25.3,27.6
2020-08-06,295,27.4,26.2,28.5
2020-08-06,90,22.6,20.7,26
2020-08-06,93,24.3,21.6,27.8
2020-08-06,95,23.6,22.2,24.8
2020-08-06,98,23.5,22.3,25.9
2020-08-06,99,23.6,21.8,28
