날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-24,285,21,19.9,22.1
2020-07-24,288,21.5,19.9,23.2
2020-07-24,266,20.8,19.8,22.8
2020-07-24,268,20.7,19.7,22
2020-07-24,271,20,18.3,22.7
2020-07-24,272,19.6,17.8,22.4
2020-07-24,273,20.1,18.7,22.1
2020-07-24,276,20.2,18.8,23.4
2020-07-24,277,21.1,19,24.1
2020-07-24,258,21.8,20.7,23
2020-07-24,259,21.1,20.2,22.5
2020-07-24,260,20.9,20,22.2
2020-07-24,261,20.2,19.4,21.3
2020-07-24,262,21,19.9,22.3
2020-07-24,263,21.7,20.4,24.4
2020-07-24,264,21,19.8,22.4
2020-07-24,248,19.8,18.9,20.7
2020-07-24,251,21.3,20.2,23.7
2020-07-24,252,21.1,19.7,23.6
2020-07-24,253,21.4,20.1,23.3
2020-07-24,254,20.9,19.9,23.1
2020-07-24,255,23.2,22.1,25.3
2020-07-24,257,22.3,20.6,25.5
2020-07-24,236,21.4,20,24.4
2020-07-24,238,21.3,19.7,23.4
2020-07-24,239,21.2,19.4,23.5
2020-07-24,243,21.6,20.3,23.1
2020-07-24,244,20.2,19.3,21.5
2020-07-24,245,21.5,20.1,23.3
2020-07-24,247,20.9,19.9,23.7
2020-07-24,211,20.4,18.1,23
2020-07-24,212,21.5,17.6,26.2
2020-07-24,216,17.4,15.4,19.7
2020-07-24,217,20.6,18.6,24
2020-07-24,221,20.9,17.7,22.5
2020-07-24,226,20.8,19.1,23
2020-07-24,232,21.4,19.1,24.3
2020-07-24,235,21.9,20.6,24.6
2020-07-24,185,21.9,20.8,24.1
2020-07-24,188,23.7,21.3,26.8
2020-07-24,189,21.5,20.1,23.6
2020-07-24,192,21.1,20,22.7
2020-07-24,201,22.1,18.5,26.9
2020-07-24,202,23,19.4,26.3
2020-07-24,203,21.4,18.2,26.1
2020-07-24,168,20.9,20.3,22.5
2020-07-24,169,20.5,19.8,22
2020-07-24,170,20.9,20,22.3
2020-07-24,172,21.2,19.9,23.3
2020-07-24,174,20.5,20,22.4
2020-07-24,177,21.5,19.3,24.2
2020-07-24,184,23,21.3,25.1
2020-07-24,146,21.7,20.7,23.7
2020-07-24,152,22.5,20.5,25.7
2020-07-24,155,21.1,20.1,23.7
2020-07-24,156,20.9,19.8,22.7
2020-07-25,159,21.3,20,23.7
2020-07-25,162,21.5,20.4,23.1
2020-07-25,165,22.2,20.4,25.5
2020-07-25,133,22.7,20.9,25.3
2020-07-25,135,21,19.2,23.8
2020-07-25,136,21.6,19.6,24.6
2020-07-25,137,21.9,19.8,24.7
2020-07-25,138,22.2,21.1,24.6
2020-07-25,140,23.2,21,27.3
2020-07-25,143,21.9,20.1,24.8
2020-07-25,115,20.7,20.1,21.5
2020-07-25,119,25.2,22.4,29.4
2020-07-25,121,22.2,19.6,25.6
2020-07-25,127,22.5,20,26.5
2020-07-25,129,24.5,21.1,29.6
2020-07-25,130,21.1,20,22.5
2020-07-25,131,23.1,20.7,26.6
2020-07-25,102,22.9,20.4,26.1
2020-07-25,104,20,19.5,20.6
2020-07-25,105,20.9,20.2,21.4
2020-07-25,106,19.9,19.6,20.3
2020-07-25,108,24.3,22.3,29
2020-07-25,112,24.4,22,28.4
2020-07-25,114,23,20.3,26.8
2020-07-25,90,19.9,19.4,20.7
2020-07-25,93,24,20.3,27.4
2020-07-25,95,22.7,20.6,26.5
2020-07-25,98,23.7,21.2,27.7
2020-07-25,99,23.4,21,27.3
2020-07-25,100,17.7,17.2,19.2
2020-07-25,101,24,21.6,27.3
2020-07-25,289,21.9,19.5,25.7
2020-07-25,294,21.7,20.1,24.1
2020-07-25,295,22.4,20.1,25.5
2020-07-25,278,21.8,20.2,24.3
2020-07-25,279,22.2,20.2,25.7
2020-07-25,281,21.6,19.7,24.5
2020-07-25,283,22.3,20.4,26.1
2020-07-25,284,21.4,19.4,26.5
2020-07-25,285,22.1,19.9,26.6
2020-07-25,288,22.3,19.8,27
2020-07-25,266,22.2,20,26.7
2020-07-25,268,21.5,19.1,25.2
2020-07-25,271,20.5,18.4,23.7
2020-07-25,272,21.6,19.1,25.1
2020-07-25,273,21.5,19.5,25.3
2020-07-25,276,21,19.2,24.1
2020-07-25,277,20.9,19.6,23.4
2020-07-25,258,22.8,21.1,26.1
2020-07-25,259,21.8,19.9,25.4
2020-07-25,260,21.3,19.8,24.6
2020-07-25,261,21.4,18.5,25.2
2020-07-25,262,21.7,19.4,24.3
2020-07-25,263,22.7,20.4,26.9
2020-07-25,264,22,19.6,27.2
2020-07-25,248,21.2,18.7,24.1
2020-07-25,251,22,20.3,25.9
2020-07-25,252,22.5,20.8,25.7
2020-07-25,253,21.6,20.1,24.8
2020-07-25,254,22.3,20.4,25.2
2020-07-25,255,23.9,22.1,26.2
2020-07-25,257,22.5,20.7,26.4
2020-07-25,236,23.5,20.7,27.2
2020-07-25,238,22,20.2,24.7
2020-07-25,239,22.5,20.6,26.2
